mois_traitement,code_prestation,remboursement_part_legale_eur,quantite_prefiltree
202501,3332,993182.240000,117030.000000
202501,1098,991722.360000,27426.000000
202501,1177,982094.130000,340.000000
202501,3329,973923.830000,11043.000000
202501,3222,935191.040000,294854.000000
202501,6213,934267.920000,4911.000000
202501,3506,930092.090000,159873.000000
202501,9436,927705.000000,17187.000000
202501,1997,920597.850000,6871.000000
202501,3121,917761.170000,50791.000000
202501,1918,890674.750000,41990.000000
202501,1169,885979.900000,9525.000000
202501,6210,871018.620000,12275.000000
202501,6233,865385.440000,13241.000000
202501,1076,839844.340000,74569.000000
202501,4332,835283.430000,20.000000
202501,2193,825815.610000,20.000000
202501,1209,816708.760000,31265.000000
202501,1981,803771.080000,11192.000000
202501,2280,801898.010000,200.000000
202501,3149,792062.530000,29579.000000
202501,1941,791800.000000,40786.000000
202501,1081,772979.290000,25745.000000
202501,8225,772742.620000,47.000000
202501,1413,769062.650000,18286.000000
202501,1059,767888.350000,21903.000000
202501,6124,756107.370000,13563.000000
202501,3373,755476.770000,1284.000000
202501,1965,744580.650000,203421.000000
202501,4379,744459.820000,35.000000
202501,3405,736270.420000,47.000000
202501,1422,734137.080000,6368.000000
202501,2150,702017.500000,1405.000000
202501,1913,700164.360000,29285.000000
202501,3355,695524.000000,31624.000000
202501,2269,684869.960000,83.000000
202501,1923,668408.700000,22773.000000
202501,1199,661673.000000,66073.000000
202501,3359,654910.380000,84597.000000
202501,1073,652726.880000,61504.000000
202501,9722,649433.370000,3399.000000
202501,1093,645453.600000,21876.000000
202501,4203,633054.730000,22154.000000
202501,1937,632553.900000,13427.000000
202501,4396,620717.730000,76.000000
202501,1105,617698.330000,16388.000000
202501,2168,616430.180000,2420.000000
202501,1132,615988.030000,26226.000000
202501,3319,611217.790000,53.000000
202501,1846,607647.060000,159978.000000
202501,6114,606799.200000,17930.000000
202501,1944,591440.290000,50603.000000
202501,1211,587905.420000,26379.000000
202501,6236,577789.810000,9071.000000
202501,2331,567659.800000,445.000000
202501,2343,567627.000000,3788.000000
202501,3131,566035.560000,52668.000000
202501,1159,558594.260000,28291.000000
202501,1946,549978.690000,12149.000000
202501,2346,538910.000000,4693.000000
202501,9721,530423.160000,734.000000
202501,1099,529595.590000,10216.000000
202501,2309,521463.500000,46896.000000
202501,4328,520081.220000,36.000000
202501,3170,518398.920000,13316.000000
202501,1906,515449.470000,60043.000000
202501,9911,507196.600000,3369.000000
202501,1127,507093.580000,118525.000000
202501,9422,499607.960000,11906.000000
202501,1938,496983.860000,19919.000000
202501,1982,487075.360000,4704.000000
202501,3535,478645.770000,20416.000000
202501,1092,461530.950000,14615.000000
202501,1179,459841.000000,222.000000
202501,1218,453014.500000,7588.000000
202501,1074,446379.210000,17755.000000
202501,3416,445021.480000,43558.000000
202501,1934,437084.510000,11662.000000
202501,6123,436569.430000,5968.000000
202501,3408,434539.300000,152573.000000
202501,1061,422746.170000,47058.000000
202501,9434,422309.860000,114363.000000
202501,3101,412252.070000,-12.000000
202501,1907,410242.460000,41.000000
202501,1475,401599.890000,65144.000000
202501,3167,401041.720000,1708.000000
202501,1847,399761.040000,122627.000000
202501,1849,388498.800000,107516.000000
202501,1106,387391.830000,27198.000000
202501,6113,384532.820000,13695.000000
202501,3601,373240.000000,7466.000000
202501,2428,370330.050000,10404.000000
202501,1407,369344.300000,59627.000000
202501,3145,365209.140000,21393.000000
202501,9763,356950.490000,493.000000
202501,3109,351382.420000,142137.000000
202501,2414,341679.310000,12980.000000
202501,1361,340955.530000,683.000000
202501,3595,336232.140000,143079.000000
202501,3142,335528.960000,12024.000000
202501,3168,327693.010000,7621.000000
202501,3516,323190.160000,49324.000000
202501,1405,320328.400000,22804.000000
202501,6131,313766.050000,8448.000000
202501,3572,313451.200000,6875.000000
202501,1077,307256.810000,21197.000000
202501,9764,297937.670000,566.000000
202501,4141,293117.940000,722.000000
202501,1134,286088.670000,16459.000000
202501,1226,277973.840000,7938.000000
202501,4380,273942.600000,13.000000
202501,2117,271988.350000,608.000000
202501,3221,266074.820000,66087.000000
202501,1920,266066.000000,26.000000
202501,1075,263407.170000,13824.000000
202501,4326,262022.500000,51.000000
202501,1995,256934.000000,653.000000
202501,2302,256532.660000,2164.000000
202501,3389,251033.480000,184509.000000
202501,2252,250270.000000,260554.000000
202501,1080,240881.960000,19089.000000
202501,9752,239681.660000,603.000000
202501,2342,238248.000000,3013.000000
202501,9761,237567.280000,598.000000
202501,2345,236370.000000,3955.000000
202501,1178,232078.000000,72.000000
202501,3505,231075.280000,42153.000000
202501,2134,226904.520000,901.000000
202501,4515,221948.400000,96.000000
202501,1400,216440.620000,1234.000000
202501,1522,212852.700000,1421.000000
202501,9731,212544.930000,1737.000000
202501,8120,211404.710000,0.000000
202501,4144,210764.720000,539.000000
202501,1437,204619.380000,10938.000000
202501,3225,202222.490000,62633.000000
202501,9762,201776.730000,1794.000000
202501,4512,198455.040000,34.000000
202501,3509,198187.910000,14908.000000
202501,6127,196983.370000,1019.000000
202501,1434,195217.380000,6508.000000
202501,1203,194376.190000,6479.000000
202501,2248,193504.000000,32.000000
202501,3171,191768.860000,1369.000000
202501,6191,188366.850000,13540.000000
202501,3575,181758.040000,14298.000000
202501,2286,181568.990000,9259.000000
202501,4316,180395.590000,451.000000
202501,3308,178421.190000,178873.000000
202501,9778,178344.800000,158.000000
202501,1844,176490.820000,48167.000000
202501,3362,173280.000000,912.000000
202501,1058,173197.300000,5015.000000
202501,1467,172299.890000,4787.000000
202501,9773,170578.750000,1043.000000
202501,3158,168414.630000,9764.000000
202501,3110,168000.000000,16.000000
202501,4321,166413.560000,86.000000
202501,1940,165408.500000,6617.000000
202501,1153,164522.400000,7365.000000
202501,1460,164058.000000,5050.000000
202501,1117,163088.280000,4041.000000
202501,9719,159009.070000,347.000000
202501,3139,159000.000000,18.000000
202501,3596,157254.190000,22255.000000
202501,9111,154324.360000,364.000000
202501,9769,154168.100000,175.000000
202501,9221,152224.190000,7033.000000
202501,4111,150447.720000,2325.000000
202501,3382,150336.840000,103.000000
202501,8114,150252.370000,2.000000
202501,3213,149852.160000,2173.000000
202501,2198,149351.830000,203.000000
202501,3423,145336.000000,4844.000000
202501,1039,144944.070000,6087.000000
202501,3113,144070.240000,39695.000000
202501,6209,142707.190000,2156.000000
202501,3565,141394.520000,22494.000000
202501,3102,138155.000000,260.000000
202501,9743,138057.850000,89.000000
202501,9203,137993.000000,4280.000000
202501,1182,136115.800000,10.000000
202501,2426,132591.540000,5040.000000
202501,1040,129352.130000,4760.000000
202501,2195,128699.140000,640.000000
202501,1047,127820.360000,1798.000000
202501,1228,126850.050000,6046.000000
202501,3310,126562.110000,3199.000000
202501,2418,122299.070000,4051.000000
202501,2157,122200.870000,3260.000000
202501,4142,121183.540000,363.000000
202501,1523,121050.000000,1628.000000
202501,3612,118963.550000,415.000000
202501,8116,118774.980000,7.000000
202501,2300,117431.130000,657.000000
202501,2421,116928.360000,155.000000
202501,4143,115773.820000,577.000000
202501,1173,114745.070000,27.000000
202501,3144,111593.090000,553.000000
